filename, speed, steer, throttle, brake
0.bmp, 0.000000, 0.500000, 1.000000, 1.0
1.bmp, 0.000000, 0.500000, 1.000000, 1.0
2.bmp, 0.000000, 0.500000, 1.000000, 1.0
3.bmp, 0.000000, 0.500000, 1.000000, 1.0
4.bmp, 0.358225, 0.500000, 0.866669, 1.0
5.bmp, 1.017409, 0.500000, 0.800003, 1.0
6.bmp, 1.889595, 0.511856, 0.698044, 1.0
7.bmp, 2.979468, 0.512634, 0.639221, 1.0
8.bmp, 4.130709, 0.511856, 0.635300, 1.0
9.bmp, 5.379253, 0.511856, 0.635300, 1.0
10.bmp, 6.439326, 0.511856, 0.635300, 1.0
11.bmp, 7.602436, 0.511856, 0.635300, 1.0
12.bmp, 8.803265, 0.513428, 0.635300, 1.0
13.bmp, 9.486322, 0.513824, 0.639221, 1.0
14.bmp, 10.376419, 0.511856, 0.639221, 1.0
15.bmp, 11.177850, 0.507507, 0.662750, 1.0
16.bmp, 11.937258, 0.500000, 0.666672, 1.0
17.bmp, 12.480461, 0.500000, 0.701965, 1.0
18.bmp, 12.979696, 0.500000, 0.729416, 1.0
19.bmp, 13.546874, 0.500000, 0.725494, 1.0
20.bmp, 14.069309, 0.500000, 0.725494, 1.0
21.bmp, 14.509841, 0.500000, 1.000000, 1.0
22.bmp, 14.102288, 0.500000, 1.000000, 1.0
23.bmp, 13.628651, 0.500000, 1.000000, 1.0
24.bmp, 12.719821, 0.485291, 1.000000, 0.66275
25.bmp, 10.767544, 0.463470, 1.000000, 0.666672
26.bmp, 9.045844, 0.428146, 1.000000, 0.784317
27.bmp, 7.326542, 0.392410, 1.000000, 0.686279
28.bmp, 5.985437, 0.362976, 1.000000, 1.0
29.bmp, 5.306654, 0.345062, 1.000000, 1.0
30.bmp, 4.658051, 0.334320, 1.000000, 1.0
31.bmp, 4.043726, 0.328751, 1.000000, 1.0
32.bmp, 3.770215, 0.328751, 0.968628, 1.0
33.bmp, 3.874241, 0.329147, 0.960785, 1.0
34.bmp, 3.989933, 0.330750, 0.960785, 1.0
35.bmp, 4.089787, 0.333923, 0.960785, 1.0
36.bmp, 4.190032, 0.335510, 0.960785, 1.0
37.bmp, 4.288154, 0.335510, 0.960785, 1.0
38.bmp, 4.388263, 0.335510, 0.960785, 1.0
39.bmp, 4.489851, 0.335114, 0.960785, 1.0
40.bmp, 4.569180, 0.333527, 0.960785, 1.0
41.bmp, 4.642191, 0.329147, 0.968628, 1.0
42.bmp, 4.348582, 0.324371, 1.000000, 1.0
43.bmp, 3.711751, 0.323181, 1.000000, 1.0
44.bmp, 3.255250, 0.322784, 0.960785, 1.0
45.bmp, 3.386520, 0.322784, 0.909805, 1.0
46.bmp, 3.649580, 0.322784, 0.850983, 1.0
47.bmp, 4.005126, 0.322784, 0.843140, 1.0
48.bmp, 4.383746, 0.322784, 0.843140, 1.0
